name,brand,description,notes,fragranceFamily,price_50ml,clean_name
VANILLA CANDY ROCK SUGAR | 42 Eau de Parfum,KAYALI,"Vanilla Candy includes notes of glazed candied pear and bubble gum playfully enhance the fruity, candy-like sweetness with a tempting vanillic explosion at the heart, magnified by warm and woody notes of tonka bean, sandalwood, and patchouli.","Candied Pear, Rock Sugar, Vanilla Cream",Warm & Spicy,136.0,vanilla candy rock sugar  42 eau de parfum
LIBRE Eau de Parfum Intense,Yves Saint Laurent,"Described by perfumers as floral, creamy, vanillic, and spicy with a slight smokiness, the captivating, sensual scent of orchid burns through the melting floral heart of LIBRE Intense, matching the honeyed facets of burnt orange blossom, smooth vanilla, and glowing amber accord built around grisalvaa classic ambergris note","Lavender Essence, Orchid Accord, Vanilla",Floral,170.0,libre eau de parfum intense
Paradoxe Intense Eau de Parfum,Prada,"Paradoxe Intense Eau de Parfum takes the original perfume and turns it up ever so slightly. Jasmine, Ambrofix™, and moss blend together to create a floral and amber-y signature scent that explores a femininity that is both powerful and delicate.","Jasmine, Amber, Moss",Floral,175.5,paradoxe intense eau de parfum
Donna Born In Roma Intense Eau de Parfum,Valentino,"This magnetic floral-amber fragrance unfolds with vanilla and jasmine in a captivating embrace, glorifying magnificent personalities. The scent amplifies the addictive nature of Born in Roma with a powerful note of vanilla.","Vanilla, Jasmine, Benzoin",Floral,169.0,donna born in roma intense eau de parfum
Good Girl Eau de Parfum Supreme,Carolina Herrera,"Embrace intense seduction with Carolina Herrera‘s Good Girl Eau de Parfum Supreme, which combines succulent berries and potent Egyptian jasmine with creamy tonka beans and scintillating vetiver.","Tuberose, Jasmine, Tonka Bean",Floral,175.5,good girl eau de parfum supreme
Very Good Girl Eau de Parfum,Carolina Herrera,"This perfume takes you on a surprising olfactive journey, starting with top notes of playfully mischievous redcurrant and exotic lychee and leading to a seductive heart of rose. Vetiver and vanilla base notes add an unexpected and contemporary finish.","Redcurrant, Rose, Vanilla",Fruity Floral,175.5,very good girl eau de parfum
Flora Gorgeous Gardenia Eau de Parfum,Gucci,"Evolving into a new delicious Eau de Parfum, floral yet delicately sweet, Gucci Flora Gorgeous Gardenia relaunches in a new campaign filled with flowers and fluffy animals. A signature floral scent for all free-spirited women full of positive energy.","Pear, White Gardenia, Brown Sugar",Fruity Floral,153.0,flora gorgeous gardenia eau de parfum
Cloud Eau de Parfum,Ariana Grande,"Ariana Grande’s fragrance Cloud opens with a dreamy blend of lavender blossom, juicy pear, and bergamot. The heart of the fragrance is a whipped touch of crème de coconut, indulgent praline, and exotic vanilla orchid. Sensual musks and creamy woods add a cashmere like feel that seduces the senses.","Juicy Pear, Crème de Coconut, Sensual Musks",Warm & Spicy,78.0,cloud eau de parfum
Miss Dior Blooming Bouquet,DIOR,"This perfume is a fresh and tender blend of peony, Damascus rose, and white musks that makes for an irresistible and charming springtime bouquet. Light, elegant, and a promise of love.","Damascus Rose, Peony, White Musk",Fresh Floral,137.0,miss dior blooming bouquet
Hypnotic Poison,DIOR,"The Hypnotic Poison Eau de Toilette has four contrasting facets: Intoxicating bitter almond and carvi, opulent sambac jasmine, mysterious jacaranda, and sensuous vanilla and musk all make for a compelling, bewitching fragrance fusion. The mystery of Dior's legendary forbidden fruit lives on in a magical, modern philter.","Bitter Almond, Sambac Jasmine, Vanilla",Warm & Spicy,143.0,hypnotic poison
